dataset,split,t,n,a,b,channel_changed_local_idx,snr_before_ch_db,snr_after_ch_db,snr_delta_ch_db
ADFTD,TRAIN,1,10,-0.19,-0.27,0,-48.138580322265625,-50.53419494628906,-2.3956146240234375
ADFTD,TRAIN,1,10,-0.19,-0.27,1,-49.45090866088867,-48.911399841308594,0.5395088195800781
ADFTD,TRAIN,1,10,-0.19,-0.27,2,-49.5680046081543,-49.94457244873047,-0.3765678405761719
ADFTD,TRAIN,1,10,-0.19,-0.27,3,-50.69478988647461,-50.417083740234375,0.2777061462402344
ADFTD,TRAIN,1,10,-0.19,-0.27,4,-49.89042663574219,-49.797306060791016,0.09312057495117188
ADFTD,TRAIN,1,10,-0.19,-0.27,5,-50.910980224609375,-51.20902633666992,-0.2980461120605469
ADFTD,TRAIN,1,10,-0.19,-0.27,6,-51.01430892944336,-51.097328186035156,-0.08301925659179688
ADFTD,TRAIN,1,10,-0.19,-0.27,7,-51.216102600097656,-50.98123550415039,0.23486709594726562
ADFTD,TRAIN,1,10,-0.19,-0.27,8,-50.438751220703125,-50.92809295654297,-0.48934173583984375
ADFTD,TRAIN,1,10,-0.19,-0.27,9,-51.779579162597656,-51.536476135253906,0.24310302734375
ADFTD,VAL,1,10,-0.19,-0.27,0,-42.538108825683594,-42.022865295410156,0.5152435302734375
ADFTD,VAL,1,10,-0.19,-0.27,1,-41.44285202026367,-41.913063049316406,-0.4702110290527344
ADFTD,VAL,1,10,-0.19,-0.27,2,-42.714378356933594,-41.78670883178711,0.9276695251464844
ADFTD,VAL,1,10,-0.19,-0.27,3,-41.01280212402344,-41.18769073486328,-0.17488861083984375
ADFTD,VAL,1,10,-0.19,-0.27,4,-42.013206481933594,-41.63365936279297,0.379547119140625
ADFTD,VAL,1,10,-0.19,-0.27,5,-41.06382751464844,-41.17744445800781,-0.113616943359375
ADFTD,VAL,1,10,-0.19,-0.27,6,-41.57448196411133,-41.24369812011719,0.3307838439941406
ADFTD,VAL,1,10,-0.19,-0.27,7,-41.343116760253906,-41.42334747314453,-0.080230712890625
ADFTD,VAL,1,10,-0.19,-0.27,8,-41.31990432739258,-41.35730743408203,-0.037403106689453125
ADFTD,VAL,1,10,-0.19,-0.27,9,-41.66188049316406,-41.45219421386719,0.209686279296875
ADFTD,TEST,1,10,-0.19,-0.27,0,-42.59248352050781,-43.47650909423828,-0.8840255737304688
ADFTD,TEST,1,10,-0.19,-0.27,1,-42.51227951049805,-43.08494567871094,-0.5726661682128906
ADFTD,TEST,1,10,-0.19,-0.27,2,-44.697532653808594,-44.457252502441406,0.2402801513671875
ADFTD,TEST,1,10,-0.19,-0.27,3,-44.15279006958008,-44.1163444519043,0.03644561767578125
ADFTD,TEST,1,10,-0.19,-0.27,4,-43.621002197265625,-44.48630905151367,-0.8653068542480469
ADFTD,TEST,1,10,-0.19,-0.27,5,-44.80247116088867,-44.280372619628906,0.5220985412597656
ADFTD,TEST,1,10,-0.19,-0.27,6,-44.401336669921875,-43.29663848876953,1.1046981811523438
ADFTD,TEST,1,10,-0.19,-0.27,7,-44.193115234375,-43.62358856201172,0.5695266723632812
ADFTD,TEST,1,10,-0.19,-0.27,8,-43.105491638183594,-43.098506927490234,0.006984710693359375
ADFTD,TEST,1,10,-0.19,-0.27,9,-44.07185363769531,-44.04327392578125,0.0285797119140625
