dataset,split,t,n,a,b,channel_changed_local_idx,snr_before_ch_db,snr_after_ch_db,snr_delta_ch_db
PTB,TRAIN,1,8,0.21,-0.5,0,-5.6204986572265625,-2.597322463989258,3.0231761932373047
PTB,TRAIN,1,8,0.21,-0.5,1,-9.171171188354492,-6.708679676055908,2.462491512298584
PTB,TRAIN,1,8,0.21,-0.5,2,-19.22931480407715,-7.913156032562256,11.316158294677734
PTB,TRAIN,1,8,0.21,-0.5,3,-6.393613338470459,-3.6651558876037598,2.728457450866699
PTB,TRAIN,1,8,0.21,-0.5,4,-11.10399055480957,-7.017187595367432,4.086802959442139
PTB,TRAIN,1,8,0.21,-0.5,5,-14.284357070922852,-4.504733562469482,9.779623031616211
PTB,TRAIN,1,8,0.21,-0.5,6,-4.441336631774902,-8.026216506958008,-3.5848798751831055
PTB,TRAIN,1,8,0.21,-0.5,7,-3.732789993286133,-3.1318233013153076,0.6009666919708252
PTB,VAL,1,8,0.21,-0.5,0,-5.664485931396484,-1.3697450160980225,4.294740676879883
PTB,VAL,1,8,0.21,-0.5,1,-7.975458145141602,-4.212153911590576,3.7633042335510254
PTB,VAL,1,8,0.21,-0.5,2,-18.233577728271484,-7.679313659667969,10.554264068603516
PTB,VAL,1,8,0.21,-0.5,3,-5.706264495849609,-3.2880189418792725,2.418245553970337
PTB,VAL,1,8,0.21,-0.5,4,-11.622017860412598,-5.279293537139893,6.342724323272705
PTB,VAL,1,8,0.21,-0.5,5,-12.209035873413086,-4.670838832855225,7.538197040557861
PTB,VAL,1,8,0.21,-0.5,6,-3.4974801540374756,-5.67555046081543,-2.178070306777954
PTB,VAL,1,8,0.21,-0.5,7,-2.6931393146514893,-2.474508762359619,0.21863055229187012
PTB,TEST,1,8,0.21,-0.5,0,-6.906463623046875,-4.349708557128906,2.5567550659179688
PTB,TEST,1,8,0.21,-0.5,1,-9.890090942382812,-7.349851608276367,2.5402393341064453
PTB,TEST,1,8,0.21,-0.5,2,-19.26242446899414,-8.168721199035645,11.093703269958496
PTB,TEST,1,8,0.21,-0.5,3,-7.367446422576904,-3.4077653884887695,3.9596810340881348
PTB,TEST,1,8,0.21,-0.5,4,-11.874515533447266,-4.986855983734131,6.887659549713135
PTB,TEST,1,8,0.21,-0.5,5,-14.533148765563965,-4.1843767166137695,10.348772048950195
PTB,TEST,1,8,0.21,-0.5,6,-5.091072082519531,-9.119937896728516,-4.028865814208984
PTB,TEST,1,8,0.21,-0.5,7,-5.001838684082031,-4.099117279052734,0.9027214050292969
