dataset,split,t,n,a,b,channel_changed_local_idx,snr_before_ch_db,snr_after_ch_db,snr_delta_ch_db
TDBRAIN,TRAIN,-1,25,1.0,1.1,0,-35.73583221435547,-35.15609359741211,0.5797386169433594
TDBRAIN,TRAIN,-1,25,1.0,1.1,1,-37.08356857299805,-36.56036376953125,0.5232048034667969
TDBRAIN,TRAIN,-1,25,1.0,1.1,2,-33.87760543823242,-37.809173583984375,-3.931568145751953
TDBRAIN,TRAIN,-1,25,1.0,1.1,3,-37.82417297363281,-31.951465606689453,5.872707366943359
TDBRAIN,TRAIN,-1,25,1.0,1.1,4,-37.768558502197266,-36.743682861328125,1.0248756408691406
TDBRAIN,TRAIN,-1,25,1.0,1.1,5,-33.90693664550781,-32.7357177734375,1.1712188720703125
TDBRAIN,TRAIN,-1,25,1.0,1.1,6,-31.707136154174805,-31.43427085876465,0.27286529541015625
TDBRAIN,TRAIN,-1,25,1.0,1.1,7,-34.55906677246094,-37.09916687011719,-2.54010009765625
TDBRAIN,TRAIN,-1,25,1.0,1.1,8,-36.251129150390625,-35.8037223815918,0.4474067687988281
TDBRAIN,TRAIN,-1,25,1.0,1.1,9,-36.99420928955078,-38.01715087890625,-1.0229415893554688
TDBRAIN,TRAIN,-1,25,1.0,1.1,10,-36.846885681152344,-34.65773010253906,2.1891555786132812
TDBRAIN,TRAIN,-1,25,1.0,1.1,11,-36.23696517944336,-37.04273986816406,-0.8057746887207031
TDBRAIN,TRAIN,-1,25,1.0,1.1,12,-36.427120208740234,-37.352821350097656,-0.9257011413574219
TDBRAIN,TRAIN,-1,25,1.0,1.1,13,-36.35969543457031,-37.309898376464844,-0.9502029418945312
TDBRAIN,TRAIN,-1,25,1.0,1.1,14,-33.658302307128906,-31.827289581298828,1.8310127258300781
TDBRAIN,TRAIN,-1,25,1.0,1.1,15,-36.463905334472656,-35.39682388305664,1.0670814514160156
TDBRAIN,TRAIN,-1,25,1.0,1.1,16,-35.249271392822266,-37.179954528808594,-1.9306831359863281
TDBRAIN,TRAIN,-1,25,1.0,1.1,17,-35.89166259765625,-36.51769256591797,-0.6260299682617188
TDBRAIN,TRAIN,-1,25,1.0,1.1,18,-36.693660736083984,-35.965553283691406,0.7281074523925781
TDBRAIN,TRAIN,-1,25,1.0,1.1,19,-26.187454223632812,-28.440732955932617,-2.2532787322998047
TDBRAIN,TRAIN,-1,25,1.0,1.1,20,-36.92598342895508,-35.480655670166016,1.4453277587890625
TDBRAIN,TRAIN,-1,25,1.0,1.1,21,-35.56886291503906,-34.621742248535156,0.9471206665039062
TDBRAIN,TRAIN,-1,25,1.0,1.1,22,-34.223968505859375,-33.811317443847656,0.41265106201171875
TDBRAIN,TRAIN,-1,25,1.0,1.1,23,-31.156875610351562,-33.12379455566406,-1.9669189453125
TDBRAIN,TRAIN,-1,25,1.0,1.1,24,-27.30179214477539,-30.819091796875,-3.5172996520996094
TDBRAIN,VAL,-1,25,1.0,1.1,0,-31.368009567260742,-31.822832107543945,-0.4548225402832031
TDBRAIN,VAL,-1,25,1.0,1.1,1,-18.7504825592041,-24.18388557434082,-5.433403015136719
TDBRAIN,VAL,-1,25,1.0,1.1,2,-30.775753021240234,-32.7289924621582,-1.9532394409179688
TDBRAIN,VAL,-1,25,1.0,1.1,3,-31.441120147705078,-28.18464469909668,3.2564754486083984
TDBRAIN,VAL,-1,25,1.0,1.1,4,-21.599246978759766,-25.991085052490234,-4.391838073730469
TDBRAIN,VAL,-1,25,1.0,1.1,5,-27.777313232421875,-27.855880737304688,-0.0785675048828125
TDBRAIN,VAL,-1,25,1.0,1.1,6,-28.77446174621582,-28.390670776367188,0.3837909698486328
TDBRAIN,VAL,-1,25,1.0,1.1,7,-29.869327545166016,-25.9218807220459,3.947446823120117
TDBRAIN,VAL,-1,25,1.0,1.1,8,-28.872848510742188,-30.93097496032715,-2.058126449584961
TDBRAIN,VAL,-1,25,1.0,1.1,9,-26.840600967407227,-26.039335250854492,0.8012657165527344
TDBRAIN,VAL,-1,25,1.0,1.1,10,-30.101652145385742,-31.27005386352539,-1.1684017181396484
TDBRAIN,VAL,-1,25,1.0,1.1,11,-30.52189826965332,-31.09379768371582,-0.5718994140625
TDBRAIN,VAL,-1,25,1.0,1.1,12,-30.10368537902832,-26.942657470703125,3.1610279083251953
TDBRAIN,VAL,-1,25,1.0,1.1,13,-29.21959686279297,-29.76457405090332,-0.5449771881103516
TDBRAIN,VAL,-1,25,1.0,1.1,14,-28.319272994995117,-28.397029876708984,-0.07775688171386719
TDBRAIN,VAL,-1,25,1.0,1.1,15,-29.247350692749023,-29.355928421020508,-0.10857772827148438
TDBRAIN,VAL,-1,25,1.0,1.1,16,-25.348501205444336,-26.378767013549805,-1.0302658081054688
TDBRAIN,VAL,-1,25,1.0,1.1,17,-28.028162002563477,-26.96466827392578,1.0634937286376953
TDBRAIN,VAL,-1,25,1.0,1.1,18,-32.78264617919922,-31.759384155273438,1.0232620239257812
TDBRAIN,VAL,-1,25,1.0,1.1,19,-23.052215576171875,-24.867422103881836,-1.815206527709961
TDBRAIN,VAL,-1,25,1.0,1.1,20,-33.152889251708984,-31.464019775390625,1.6888694763183594
TDBRAIN,VAL,-1,25,1.0,1.1,21,-32.67917251586914,-30.818538665771484,1.8606338500976562
TDBRAIN,VAL,-1,25,1.0,1.1,22,-31.76609992980957,-29.959640502929688,1.8064594268798828
TDBRAIN,VAL,-1,25,1.0,1.1,23,-26.922941207885742,-30.89378547668457,-3.970844268798828
TDBRAIN,VAL,-1,25,1.0,1.1,24,-24.61943817138672,-30.39935874938965,-5.77992057800293
TDBRAIN,TEST,-1,25,1.0,1.1,0,-27.218645095825195,-27.57240104675293,-0.3537559509277344
TDBRAIN,TEST,-1,25,1.0,1.1,1,-25.29107666015625,-25.029563903808594,0.26151275634765625
TDBRAIN,TEST,-1,25,1.0,1.1,2,-25.709714889526367,-25.82859992980957,-0.11888504028320312
TDBRAIN,TEST,-1,25,1.0,1.1,3,-27.229278564453125,-27.258441925048828,-0.029163360595703125
TDBRAIN,TEST,-1,25,1.0,1.1,4,-27.347211837768555,-25.823036193847656,1.5241756439208984
TDBRAIN,TEST,-1,25,1.0,1.1,5,-27.493764877319336,-26.829835891723633,0.6639289855957031
TDBRAIN,TEST,-1,25,1.0,1.1,6,-24.951265335083008,-26.355449676513672,-1.404184341430664
TDBRAIN,TEST,-1,25,1.0,1.1,7,-27.873695373535156,-27.394569396972656,0.4791259765625
TDBRAIN,TEST,-1,25,1.0,1.1,8,-26.046463012695312,-26.778045654296875,-0.7315826416015625
TDBRAIN,TEST,-1,25,1.0,1.1,9,-27.897117614746094,-26.633514404296875,1.2636032104492188
TDBRAIN,TEST,-1,25,1.0,1.1,10,-26.33279800415039,-25.620227813720703,0.7125701904296875
TDBRAIN,TEST,-1,25,1.0,1.1,11,-28.661401748657227,-28.11590003967285,0.545501708984375
TDBRAIN,TEST,-1,25,1.0,1.1,12,-26.191789627075195,-26.606075286865234,-0.41428565979003906
TDBRAIN,TEST,-1,25,1.0,1.1,13,-26.282894134521484,-26.794631958007812,-0.5117378234863281
TDBRAIN,TEST,-1,25,1.0,1.1,14,-23.87259292602539,-28.548185348510742,-4.675592422485352
TDBRAIN,TEST,-1,25,1.0,1.1,15,-28.82733917236328,-28.37907600402832,0.44826316833496094
TDBRAIN,TEST,-1,25,1.0,1.1,16,-26.19727897644043,-25.856361389160156,0.34091758728027344
TDBRAIN,TEST,-1,25,1.0,1.1,17,-28.965579986572266,-28.04375457763672,0.9218254089355469
TDBRAIN,TEST,-1,25,1.0,1.1,18,-26.896093368530273,-25.299541473388672,1.5965518951416016
TDBRAIN,TEST,-1,25,1.0,1.1,19,-24.976776123046875,-25.648990631103516,-0.6722145080566406
TDBRAIN,TEST,-1,25,1.0,1.1,20,-23.72596549987793,-24.305522918701172,-0.5795574188232422
TDBRAIN,TEST,-1,25,1.0,1.1,21,-25.869770050048828,-25.38743019104004,0.48233985900878906
TDBRAIN,TEST,-1,25,1.0,1.1,22,-29.64015769958496,-26.172950744628906,3.4672069549560547
TDBRAIN,TEST,-1,25,1.0,1.1,23,-23.413692474365234,-24.692697525024414,-1.2790050506591797
TDBRAIN,TEST,-1,25,1.0,1.1,24,-23.489580154418945,-22.840347290039062,0.6492328643798828
