dataset,split,t,n,a,b,channel_changed_local_idx,snr_before_ch_db,snr_after_ch_db,snr_delta_ch_db
APAVA,TRAIN,1,9,-0.8,-0.6,0,-31.64760398864746,-32.61143112182617,-0.9638271331787109
APAVA,TRAIN,1,9,-0.8,-0.6,1,-30.993667602539062,-31.26441192626953,-0.27074432373046875
APAVA,TRAIN,1,9,-0.8,-0.6,2,-32.66990280151367,-32.88117599487305,-0.211273193359375
APAVA,TRAIN,1,9,-0.8,-0.6,3,-34.75725555419922,-33.49304962158203,1.2642059326171875
APAVA,TRAIN,1,9,-0.8,-0.6,4,-34.982181549072266,-34.62437438964844,0.3578071594238281
APAVA,TRAIN,1,9,-0.8,-0.6,5,-35.52583694458008,-34.52888488769531,0.9969520568847656
APAVA,TRAIN,1,9,-0.8,-0.6,6,-31.09991455078125,-31.307899475097656,-0.20798492431640625
APAVA,TRAIN,1,9,-0.8,-0.6,7,-34.7571907043457,-32.68352127075195,2.07366943359375
APAVA,TRAIN,1,9,-0.8,-0.6,8,-36.2898063659668,-36.20381164550781,0.08599472045898438
APAVA,VAL,1,9,-0.8,-0.6,0,-31.340694427490234,-28.145584106445312,3.195110321044922
APAVA,VAL,1,9,-0.8,-0.6,1,-29.194995880126953,-27.972660064697266,1.2223358154296875
APAVA,VAL,1,9,-0.8,-0.6,2,-30.325830459594727,-30.55594253540039,-0.23011207580566406
APAVA,VAL,1,9,-0.8,-0.6,3,-30.146608352661133,-29.770946502685547,0.37566184997558594
APAVA,VAL,1,9,-0.8,-0.6,4,-30.495708465576172,-32.43861770629883,-1.9429092407226562
APAVA,VAL,1,9,-0.8,-0.6,5,-24.67730712890625,-25.61722755432129,-0.9399204254150391
APAVA,VAL,1,9,-0.8,-0.6,6,-27.85240936279297,-30.472166061401367,-2.6197566986083984
APAVA,VAL,1,9,-0.8,-0.6,7,-28.284082412719727,-25.33595848083496,2.9481239318847656
APAVA,VAL,1,9,-0.8,-0.6,8,-31.255207061767578,-29.638042449951172,1.6171646118164062
APAVA,TEST,1,9,-0.8,-0.6,0,-29.28380584716797,-28.99237060546875,0.29143524169921875
APAVA,TEST,1,9,-0.8,-0.6,1,-30.259654998779297,-28.076263427734375,2.183391571044922
APAVA,TEST,1,9,-0.8,-0.6,2,-27.374187469482422,-25.811969757080078,1.5622177124023438
APAVA,TEST,1,9,-0.8,-0.6,3,-29.130346298217773,-31.15758514404297,-2.0272388458251953
APAVA,TEST,1,9,-0.8,-0.6,4,-28.137006759643555,-28.125900268554688,0.011106491088867188
APAVA,TEST,1,9,-0.8,-0.6,5,-30.033546447753906,-30.304157257080078,-0.2706108093261719
APAVA,TEST,1,9,-0.8,-0.6,6,-31.534263610839844,-32.23123550415039,-0.6969718933105469
APAVA,TEST,1,9,-0.8,-0.6,7,-28.101213455200195,-29.13959312438965,-1.0383796691894531
APAVA,TEST,1,9,-0.8,-0.6,8,-28.965662002563477,-31.452369689941406,-2.4867076873779297
