seed,n_channels,k_improved_channels,prob,count_iters,total_iters
41,9,0,0.0011838989739542227,3,2534
41,9,1,0.01617995264404104,41,2534
41,9,2,0.07261247040252565,184,2534
41,9,3,0.1712707182320442,434,2534
41,9,4,0.22573007103393844,572,2534
41,9,5,0.2462509865824783,624,2534
41,9,6,0.15390686661404893,390,2534
41,9,7,0.09116022099447514,231,2534
41,9,8,0.018547750591949488,47,2534
41,9,9,0.0031570639305445935,8,2534
42,9,0,0.0012787723785166241,3,2346
42,9,1,0.014066496163682864,33,2346
42,9,2,0.06905370843989769,162,2346
42,9,3,0.16112531969309463,378,2346
42,9,4,0.24467178175618073,574,2346
42,9,5,0.23060528559249788,541,2346
42,9,6,0.17902813299232737,420,2346
42,9,7,0.07374254049445865,173,2346
42,9,8,0.024296675191815855,57,2346
42,9,9,0.002131287297527707,5,2346
43,9,0,0.0007892659826361484,2,2534
43,9,1,0.012628255722178374,32,2534
43,9,2,0.06511444356748224,165,2534
43,9,3,0.15943172849250198,404,2534
43,9,4,0.23954222573007103,607,2534
43,9,5,0.2612470402525651,662,2534
43,9,6,0.17324388318863457,439,2534
43,9,7,0.06708760852407261,170,2534
43,9,8,0.018942383583267563,48,2534
43,9,9,0.001973164956590371,5,2534
44,9,0,0.001973164956590371,5,2534
44,9,1,0.019337016574585635,49,2534
44,9,2,0.06353591160220995,161,2534
44,9,3,0.16416732438831885,416,2534
44,9,4,0.23164956590370955,587,2534
44,9,5,0.255327545382794,647,2534
44,9,6,0.16771902131018154,425,2534
44,9,7,0.07458563535911603,189,2534
44,9,8,0.018942383583267563,48,2534
44,9,9,0.0027624309392265192,7,2534
45,9,0,0.0018368846436443791,5,2722
45,9,1,0.013960323291697281,38,2722
45,9,2,0.06649522409992653,181,2722
45,9,3,0.14401175606171931,392,2722
45,9,4,0.23365172667156503,636,2722
45,9,5,0.25973548861131524,707,2722
45,9,6,0.1840558412931668,501,2722
45,9,7,0.07237325495958853,197,2722
45,9,8,0.02020573108008817,55,2722
45,9,9,0.0036737692872887582,10,2722
